Namespace(gpu=0, seed=0, root_dir='/data/spucosun/3.0', label_noise=0.0, results_csv='/data/spucosun/results/group_dro.csv', stdout_file='spuco_sun_group_dro.out', arch='resnet18', batch_size=128, num_epochs=2, lr=1e-05, weight_decay=0.1, momentum=0.9, pretrained=False, wandb=False, wandb_project='spuco', wandb_entity=None, wandb_run_name='spuco_sun_group_dro')
 | Epoch 0 | Loss: 1.3871046304702759 | Accuracy: 23.4375%
 | Epoch 0 | Loss: 1.378061056137085 | Accuracy: 33.59375%
 | Epoch 0 | Loss: 1.377599835395813 | Accuracy: 25.78125%
 | Epoch 0 | Loss: 1.3917782306671143 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3806884288787842 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3664605617523193 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3724703788757324 | Accuracy: 29.6875%
 | Epoch 0 | Loss: 1.3757026195526123 | Accuracy: 24.21875%
 | Epoch 0 | Loss: 1.3565269708633423 | Accuracy: 32.8125%
 | Epoch 0 | Loss: 1.373594880104065 | Accuracy: 27.34375%
 | Epoch 0 | Loss: 1.3812751770019531 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3661102056503296 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3651888370513916 | Accuracy: 25.0%
 | Epoch 0 | Loss: 1.3836090564727783 | Accuracy: 25.78125%
 | Epoch 0 | Loss: 1.3766306638717651 | Accuracy: 25.78125%
 | Epoch 0 | Loss: 1.354839563369751 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.3613786697387695 | Accuracy: 29.6875%
 | Epoch 0 | Loss: 1.36885666847229 | Accuracy: 18.75%
 | Epoch 0 | Loss: 1.3613622188568115 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3761743307113647 | Accuracy: 24.21875%
 | Epoch 0 | Loss: 1.36020028591156 | Accuracy: 27.34375%
 | Epoch 0 | Loss: 1.373861312866211 | Accuracy: 25.78125%
 | Epoch 0 | Loss: 1.367072343826294 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3536880016326904 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3748741149902344 | Accuracy: 25.0%
 | Epoch 0 | Loss: 1.3564335107803345 | Accuracy: 32.03125%
 | Epoch 0 | Loss: 1.341944694519043 | Accuracy: 31.25%
 | Epoch 0 | Loss: 1.3672921657562256 | Accuracy: 29.6875%
 | Epoch 0 | Loss: 1.3726128339767456 | Accuracy: 27.34375%
 | Epoch 0 | Loss: 1.3566970825195312 | Accuracy: 36.71875%
 | Epoch 0 | Loss: 1.3682916164398193 | Accuracy: 26.5625%
 | Epoch 0 | Loss: 1.3477964401245117 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.357799768447876 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3755979537963867 | Accuracy: 21.875%
 | Epoch 0 | Loss: 1.3663115501403809 | Accuracy: 27.34375%
 | Epoch 0 | Loss: 1.371030330657959 | Accuracy: 21.09375%
 | Epoch 0 | Loss: 1.382461667060852 | Accuracy: 16.40625%
 | Epoch 0 | Loss: 1.380088210105896 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.3758885860443115 | Accuracy: 26.5625%
 | Epoch 0 | Loss: 1.3679931163787842 | Accuracy: 23.4375%
 | Epoch 0 | Loss: 1.3607532978057861 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3695365190505981 | Accuracy: 27.34375%
 | Epoch 0 | Loss: 1.3711216449737549 | Accuracy: 35.15625%
 | Epoch 0 | Loss: 1.3734105825424194 | Accuracy: 35.15625%
 | Epoch 0 | Loss: 1.3624725341796875 | Accuracy: 35.9375%
 | Epoch 0 | Loss: 1.3784544467926025 | Accuracy: 22.65625%
 | Epoch 0 | Loss: 1.369075894355774 | Accuracy: 25.78125%
 | Epoch 0 | Loss: 1.3562947511672974 | Accuracy: 23.4375%
 | Epoch 0 | Loss: 1.3611341714859009 | Accuracy: 22.65625%
 | Epoch 0 | Loss: 1.3623347282409668 | Accuracy: 32.03125%
 | Epoch 0 | Loss: 1.372593879699707 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3727383613586426 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3612463474273682 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.3478703498840332 | Accuracy: 31.25%
 | Epoch 0 | Loss: 1.3814553022384644 | Accuracy: 22.65625%
 | Epoch 0 | Loss: 1.3713879585266113 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3581053018569946 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.378089427947998 | Accuracy: 23.4375%
 | Epoch 0 | Loss: 1.3628675937652588 | Accuracy: 29.6875%
 | Epoch 0 | Loss: 1.3713164329528809 | Accuracy: 27.34375%
